%   W1             V1           W2              V2              W3              V3  
-0.37321	0.16340       0.04843        0.47482        -0.17886         0.20125
 0.18236	0.02925	      0.40701        0.23454        -0.07930         0.25977    
 0.13415       -0.43726       0.29592        0.02283         0.07704         0.27819
-0.16405       -0.60736      -0.09687       -0.22972         0.15038         0.27633  
-0.06585       -0.62745       0.00680       -0.50505         0.20817         0.17194  
 0.07255       -0.63415       0.10976       -0.58775         0.31981         0.01925  
-0.15670       -0.62500      -0.15780       -0.66884         0.34030        -0.13915
 0.17925       -0.52255      -0.22092       -0.65250         0.40256        -0.27660
-0.37745       -0.17434      -0.10680       -0.48867         0.36502        -0.40125   
 0.32990       -0.00179      -0.08470       -0.35464         0.15921        -0.45977   
-0.12500       -0.00670      -0.12717       -0.14706        -0.00126        -0.47819   
 0.13415        0.00915      -0.09308       -0.02273        -0.20283        -0.47633   
-0.17321        0.27321       0.08638        0.11890        -0.39432        -0.37194
-0.10000        0.74641       0.10764        0.30785        -0.39972        -0.21925
 0.23726        0.63415      -0.04575        0.39306        -0.41608        -0.06085   
 0.26585        0.18104      -0.12884        0.50495        -0.35011         0.07660
