% $Id: WV-D6-ocean-shear-edof1.dat 412 2004-07-23 20:44:11Z ccornish $
% ocean shear series, D(6) filter, wavelet variance estimates and
% confidence intervalsEDOFs via eta_1 method, Figure 333
% j     tau_j	    wvar  lower_95_cl  upper_95_cl edof	lower_Qeta	upper_Qeta	MJ	AJ
1 0.1	2.417048626297275E-4	       2.2700192518087408E-4   2.578912756156365E-4	1890.0418090287471	2012.460006459121     1771.4143090928046        4091    1.2645291454931104E-7 
2 0.2	4.421395385139714E-4	       4.062569726853305E-4    4.8302036867891755E-4 	1027.474908489887   	1118.2264242053386     940.5137160507314   	4081    7.764510418408393E-7  
3 0.4	6.143158530134257E-4	       5.495061476401903E-4    6.913707157749167E-4  	 583.9813721257026  	 652.8571450965028     518.8952996935245   	4061    2.6243239325922353E-6 
4 0.8	0.0020689980212283726	       0.0017692102305176282   0.002452450260465996  	 289.3437625253746  	 338.3722645242794     244.1034918302567   	4021    5.948946991704013E-5  
5 1.6	0.010468192745263004	       0.008013346954584949    0.014260346421787857  	  93.56708696533497 	 122.23086140123856     68.68544928680002  	3941    0.004615584933900302  
6 3.2	0.057565379901354706	       0.043292079975530355    0.08032106799609862   	  81.5027911739298  	 108.37407534126146     58.412310169679664 	3781    0.15372940476447003   
7 6.4	0.41453972009660806	       0.26754605430274375     0.7280703636553998    	  31.692812040015966	  49.1053006420954      18.0448622660335   	3461    18.76606101185634     
8 12.8	0.9679390004692372	       0.5651223400844492      2.0280976752474293    	  19.7835672624221  	  33.88520496082879      9.441994118635595 	2821    133.59630915824576    
9 25.6	0.32454789633127706	       0.15062729121179946     1.137469244534789     	   8.451936543774643	  18.210897926528077     2.4115449612260744	1541    19.20454436642404     
                                                                                
